Ich komme aus Land,wǒ cóng Land lái
Ich bin Nationalität,wǒ shì Nationalität rén
Ich spreche Sprache,wǒ shuō Sprache
Bitte kommen Sie herein,qǐng jìn
Nehmen Sie bitte platz,qǐng zuò
Trinken Sie Tee bitte,qǐng hē chá
Schauen Sie bitte,qǐng kàn
Vier ist Vier. Zehn ist Zehn,sì shì sì. shí shì shí
Vierzehn ist vierzehn,shí sì shì shí sì
Vierzig ist Vierzig,sì shí shì sì shí
Ich bin Zhang li.,wǒ shì zhāng lì
Ich bin Chinesin.,wǒ shì zhōng guó rén
Ich bin Lehrerin.,wǒ shì lǎo shī
Ich unterrichte Chinesisch.,wǒ jiāo zhōng wén.
Er ist Tom.,tā shì tom
Er ist Amerikaner.,tā shì měi guó ré
Er ist Student.,tā shì xué shēng
Er studiert Wirtschaft.,tā xué jīng jì
Sie ist Anna.,tā shì ān nà
Sie ist Deutsche.,tā shì dé guó rén
Sie ist Übersetzerin.,tā shì fān yì
Sie übersetzt Chinesisch und Englisch.,tā fān yì zhōng wén hé yīng wén.
Unterrichtet Zhangli Chinesisch?,Zhāng lì jiāo zhōng wén ma?
Ja.,shì de.
Studiert Tom Wirtschaft?,tāng mǔ xué xí jīng jì ma?
Sind Sie Französin?,nín shì fǎ guó rén ma?
Nein. ich bin Deutsche.,bú shì. wǒ shì dé guó rén.
Studiert er Japanisch?,tā xué xí rì wén ma?
Nein. er studiert Wirtschaft.,bù. tā xué xí jīng jì
Ich bin Deutscher.,wǒ shì dé guó rén
Sie ist Studentin.,tā shì xué shēng
Er dolmetscht.,tā fān yì
Ich unterrichte Wirtschaft,wǒ jiāo jīng jì
Ich bin Student.,wǒ shì xué shēng.
Wang meiyu ist Lehrerin,Wáng měiyù shì lǎo shī
Er ist Übersetzer.,tā shì fān yì
Ich unterrichte Chinesisch.,wǒ jiāo zhōng wén
Sie übersetzt Englisch.,tā fān yì yīng wén
Zhang jian studiert Wirtschaft.,zhāng jiàn xué xí jīng jì
Sind Sie Franzose?,nǐ shì fǎ guó rén ma?
Ja./Ja./Richtig.,shì./ shì de./duì
Ist er Leherer?,tā shì lǎo shī ma?
Nein. er ist Dolmetscher.,bù. tā shì fān yì
