Papier,zhǐ
wer/wen/wem,shuí
Journalist/Reporter,jì zh
Ingenieur,gōngchéngshī 
Kaffee,kā fēi
Wie alt?,duō dà
…Jahre alt sein,～suì
Berlin,bólín
Peking,Běijīng
Tee,chá
Wer/wem/wen,Shéi
Was/was für ein,Shén me
Welch-,nǎ+ ZEW
Frage nach der Nationalität (wörtl.:welches-Land-Mensch),nǎ guó rén
Wo(auch:wohin),Nǎr
Wie viele,jǐ+ZEW
Wie alt ist～? (unter 10),～jǐ suì
Wie alt ist ～?,～duō dà
Wie alt ist ～? (höflicher/ältere Person),～duō dà nián jì?
Familie/Heim/Zuhause,jiā
Zusammen/insgesamt,yígòng
Grundschule,xiǎo xué
Mittelschule,zhōng xué
Universität,dàxué
Schüler in der Mittelstufe,zhōng xuéshēng
Student an der Uni,dàxuéshēng
Grundschüler,xiǎo xuéshēng
Doktor,yīshēng
Firma,gōng sī
Angestelle(r),zhí yuán
auch,yě
beide/alle,dōu
aufstehen,qǐ chuáng
Heute,Jīn tiān
Unterrich/Lektion,kè
morgen,míng tiān
Zeit haben,yǒu kòng
Vormittag,shàng wǔ
Nachmittag,xià wǔ 
hin-/zu-/anhören,tīng
Tonaufnahme,lù yīn
schreiben,xiě
Chinesische Schriftzeichen,hàn zì
Abend,wǎn shàng
hin-/an/nachsehen/lesen,kàn
Film,diàn yǐng
ZEW für Film,bù
O.K.,Hǎo.
gehen,qù
kommen,lái
Montag,xīngqīyī
Dienstag,xīngqīèr
Mittwoch,xīngqīsān
Donnerstag,xīngqīsì
Freitag,xīngqīwǔ
Samstag,xīngqīliù
Sonntag,xīngqīrì/xīngqītiān
Montag(Regional),lǐbàiyī
Dienstag(Regional),lǐbàièr
Mittwoch(Regional),lǐbàisān
Donnerstag(Regional),lǐbàisì
Freitag(Regional),lǐbàiwǔ 
Samstag(Regional),lǐbàiliù 
Sonntag(Regional),lǐbàitiān
Montag(Terminkalender),zhōu yī
Dienstag(Terminkalender),Zhōu èr
Mittwoch(Terminkalender), Zhōu sān
Donnerstag(Terminkalender),Zhōu sì
Freitag(Terminkalender), Zhōu wǔ
Samstag(Terminkalender),Zhōu liù
Sonntag(Terminkalender), Zhōu rì
Wochenende,zhōumò
jetzt,xiànzài
Universität,xiànzài
(am) Morgen/morgens,zǎo shàng
essen,chī
Reis/Mahlzeit,fàn
Früstück,Zǎo fàn
Mittagessen,wǔ fàn
Abendessen,Wǎn fàn
Mittag,zhōngwǔ
Unterricht besuchen,shàngkè
Unterricht beenden,xiàkè
Speisesaal/Mensa/Restaurant,cāntīng
sich treffen,Jiàn miàn
spät,wǎn
(am) Abend/abends,Wǎnshàng
Uhr (Stunde),～ diǎn zhōng
Minute,Fēn
Viertelstunde,kè
Hälfte (Uhrzeit),Bàn
fehlen(bei Uhr),chà
ein Viertel/Viertelstunde,yíkè
drei Viertel/Dreiviertelstunde,sānkè
wann,Shénme shíhòu
schlafen,shuì jiào
in der Nacht/nachts,yè li
1 Uhr,Yīdiǎn
2 Uhr,liǎngdiǎn
3 Uhr,sāndiǎn
3 Uhr+ halb→halb vier/3.30,Sān diǎn 
5 Uhr+1Viertelstunden→5:15,wǔ diǎn yíkè
7Uhr+3Viertelstunden→7.45,qī diǎn sān kè
10Uhr fehlen 8 Minuten→9.52,jiǔ diǎn chà bā fēn
Viertel vor drei/2.45,Sān diǎn chà yí kè
10 Uhr fehlen 5 Minuten→9.55,shí diǎn chà wǔ fēn
Viertel vor drei/2.45,Sān diǎn chà yí kè
ZEW für Unterrichtsstunde,jié
schwimmen,yóuyǒng
Gut.,hǎo
Gut/O.K./Schön.,hǎo de 
Freund/Freundin,Péng you
beginnen,Kāi shǐ 
Wie wäre es wenn?/Wie findest du?,...zěnme yàng?
Modalverb: müssen,děi
also dann/tja,Nàme
Kurzfrage: und?,～ne? 
Interjektion: Ach!/Oh!,à! 
bitte/bitten/einladen,qǐng
(be)fragen,wèn
Restaurant,Fàn diàn
Taxi,chūzūqìchē
ZEW für Taxi,:liàng
fliegen/sitzen (in einem Verkehrsmittel),zuò
gestern,Zuótiān
Zimmer,Fángjiān
ZEW für Zimmer,jiān
warten (auf),Děng
ml eben etw. tun(hinter Verb),yí xià
zuerst/als erster,Xiān
Tag,Tiān
Geld,Qián
Wie viel kostet?/Wie teuer ist?,～du ō shǎ o qián?
(gehen/ kommen um etx. zu)holen,(qù/lái)ná
Strasse/Weg,lù
weit (entfernt),yuǎn
am Besten (als Vorschlag),zuì hǎo
Wie,zěnme
Wie kommt man dahin?,zěnme qù
bestellen/reservieren,Dìng
Nummer xy,xy hào
Welche Nummer?,jǐ hào
x-ste Stock/Etage,x lóu
(Formular) ausfüllem,Tián
Liste/Formular,Biǎo
Hundert,Bǎi
chin. Währung Grundeinheit,Kuài
chinesische Währung,yuán
Gepäck,xínglǐ
ZEW für Gepäck,jiàn
Auskunft,wèn xùn chù
100,yì bǎi
968,jiǔ bǎi liù shí bā
110,yì bǎi yī shí
117,yì bǎi yī shí qī
502,wǔ bǎi líng èr
222,èr bǎi èr shí èr/liǎng bǎi èr shí èr (an Hundersterstelle oft liang statt er)
